"Formatted ID","Name","Notes","Feature","Discussion","Plan Estimate","Schedule State","Iteration","Description","Acceptance Criteria","Owner","Project","Creation Date","Accepted Date","Custom Field 3","Affected Customers","Blocked","Blocked Reason","Display Color","Components","Created By","Custom Development","Custom Field 1","Custom Field 2","Custom Field 4","Custom Field 5","Defect Status","Defects","Dependencies","Direct Children Count","DirectPassingTestCaseCount","Due Date","Enabler / Tech Debt","Estimated Value","Expedite","External ID","Flow State","HasParent","Impacted Systems","In Progress Date","ITSM ID","Kanban State","Last Build","Last Run","Last Update Date","Milestones","MOSCOW Priority","Parent","Portfolio Item","Ready","Release","Resolution","Salesforce Case","Tags","Task Estimate Total","Task Status","Test Case Status","Task Remaining Total","Total Direct Test Case Count","Virtual Release ID"
"US5819051","Build API to Update Sandbox Assessment Status Post Approval","","Feature F717289: CRR - Approval Process for CRR configuration Changes","0","3.0","Accepted","AXP 25.3.13","As a Compliance Analyst/Manager, I WANT TO update the sandbox implementation status only after a two-step approval processSO THAT changes to CRR scoring logic or lists are only moved to production with dual verification. https://www.figma.com/design/ej5fTjN0D2CQJFWaZtwj3H/CRR-Option2?node-id=3873-53562&t=GpcF2HZab3Iv9GsQ-0 ","GIVEN a sandbox simulation instance with finalized changesWHEN the first approver marks the status as “Approved-Level-1”THEN the system must log the user ID, timestamp, and lock the record for second-level approval GIVEN the instance is in “Approved-Level-1” stateWHEN a second, distinct approver submits the second-level approvalTHEN the API must update the status to “Approved-Final” and trigger promotion of the sandboxed CRR rules into production GIVEN an API call to approve is submittedWHEN the approver is the same as Level-1 approverTHEN the API must reject the request with error code 403 and a message “Second approval must be by a different user” GIVEN an API call to approve is submittedWHEN the instance has not passed Level-1 approvalTHEN the system must block the transition to production with status “Pending Level-1 Approval” GIVEN both approvals are completedWHEN the API status is updated to “Approved-Final”THEN all linked logs, rule changes, and sandbox metadata must be persisted for audit and traceability  ","Tahcin Ahmed","E_SLPM_ST15_CRR Rule Configuration","05/28/2025 05:05 AM MST","07/21/2025 09:40 PM MST","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Accepted","False","","07/09/2025 09:38 PM MST","","","","","10/16/2025 10:01 AM MST","","","","Feature F717289: CRR - Approval Process for CRR configuration Changes","False","AXP PI 25.3","","","","34.0","0 Defined, 0 In-Progress, 2 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US5819042","Screen for pending approval 1","Add cases for accept & reject","Feature F717289: CRR - Approval Process for CRR configuration Changes","0","2.0","Accepted","AXP 25.3.13","As a Compliance Analyst/Manager, I WANT to review simulation output and approve the submission SO THAT the process can proceed to the second level of validation https://www.figma.com/design/ej5fTjN0D2CQJFWaZtwj3H/CRR-Option2?node-id=3873-53562&t=GpcF2HZab3Iv9GsQ-0","GIVEN I want to approve the sandboxWHEN I access the submission detailTHEN I must be able to view simulation diffs, notes, and results before approving","Tahcin Ahmed","E_SLPM_ST15_CRR Rule Configuration","05/28/2025 05:01 AM MST","07/21/2025 09:41 PM MST","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","1","","","","False","","Accepted","False","","07/13/2025 09:36 PM MST","","","E2","08/03/2025 10:27 PM MST","10/16/2025 10:01 AM MST","","","","Feature F717289: CRR - Approval Process for CRR configuration Changes","False","AXP PI 25.3","","","","10.0","0 Defined, 0 In-Progress, 1 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 1 Pass","0.0","1",""
"US5819041","Two step approval process for Sandbox simulation","","Feature F717289: CRR - Approval Process for CRR configuration Changes","0","2.0","Accepted","AXP 25.3.13","As a Compliance Analyst/Manager, I WANT to submit a completed sandbox simulation for approval SO THAT the simulation changes can be validated for production deployment. The system needs to prevent the same user from acting as both Approver 1 and Approver 2 SO THAT there is a valid segregation of duties. https://www.figma.com/design/ej5fTjN0D2CQJFWaZtwj3H/CRR-Option2?node-id=3873-53562&t=GpcF2HZab3Iv9GsQ-0 ","GIVEN a sandbox simulation has been finalizedWHEN I click the """"Submit for Approval"""" buttonTHEN the system must initiate the two-step approval process and notify eligible approvers","Tahcin Ahmed","E_SLPM_ST15_CRR Rule Configuration","05/28/2025 05:00 AM MST","07/21/2025 09:40 PM MST","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","1","","","","False","","Accepted","False","","07/13/2025 09:36 PM MST","","","E2","08/03/2025 10:27 PM MST","10/16/2025 10:01 AM MST","","","","Feature F717289: CRR - Approval Process for CRR configuration Changes","False","AXP PI 25.3","","","","26.0","0 Defined, 0 In-Progress, 2 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 1 Pass","0.0","1",""
"US5819200","Publish merge to production event","","Feature F717284: CRR - Ability to Modify Rules and Merge to production","1","1.0","Accepted","AXP 25.3.13"," AS A Compliance Analyst/Manager,I WANT an event to be published when merge to production happensSO THAT appropriate risk scoring processes can be triggered using that event in future","GIVEN a merge occurs WHEN the changes are detectedTHEN an event is published with details about the changes  ","Satvik Jain","E_SLPM_ST15_CRR Rule Configuration","05/28/2025 05:50 AM MST","07/21/2025 02:51 AM MST","","","False","","#21a2e0","","Satvik Jain","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Accepted","False","","07/09/2025 03:46 AM MST","","","","","10/16/2025 10:01 AM MST","","","","Feature F717284: CRR - Ability to Modify Rules and Merge to production","False","AXP PI 25.3","","","","6.0","0 Defined, 0 In-Progress, 1 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US5805125","Enforce Code Style using AMEX recommended tools","","Feature F741328: CRR - Risk Thresholds new layout & Other miscellaneous efforts","0","1.0","Accepted","AXP 25.2.10 IP"," Enforce Code Style using AMEX recommended tools      Use Prettier for javascript (react)      Use spotless for kotlin and python       https://github.aexp.com/pages/amex-eng/amexway/docs/quadrants/path/code-style-guides"," Enforce Code Style using AMEX recommended tools      Use Prettier for javascript (react)      Use spotless for kotlin and python       https://github.aexp.com/pages/amex-eng/amexway/docs/quadrants/path/code-style-guides","Satvik Jain","E_SLPM_ST15_CRR Rule Configuration","05/26/2025 12:38 AM MST","06/09/2025 02:22 AM MST","","","False","","#21a2e0","","Satvik Jain","","","","","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Accepted","False","","05/29/2025 02:17 AM MST","","","","","06/09/2025 02:22 AM MST","","","","Feature F741328: CRR - Risk Thresholds new layout & Other miscellaneous efforts","False","AXP PI 25.2","","","","30.0","0 Defined, 0 In-Progress, 2 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US5819053","Trigger the sandbox implementation","","Feature F717289: CRR - Approval Process for CRR configuration Changes","3","1.0","Accepted","AXP 25.3.13","AS A Compliance Manager/Analyst, I WANT TO trigger a rule change action when the """"Implemented"""" button is clicked SO THAT the sandbox rules are queued for the two-step approval workflow prior to production deployment. https://www.figma.com/design/ej5fTjN0D2CQJFWaZtwj3H/CRR-Option2?node-id=3873-53562&t=GpcF2HZab3Iv9GsQ-0 https://www.figma.com/design/ej5fTjN0D2CQJFWaZtwj3H/CRR-Option2?node-id=3873-45442&p=f&t=BXXHXvEGEXbt6Z2D-0 -Confirmation modal","GIVEN a sandbox has been successfully completedWHEN the """"Implement button is clicked by the userTHEN they should see the sandbox status as 'Pending Approval-1' to initiate the first-level approval workflow GIVEN the user does not modify the sandboxWHEN the 'Add Comment' section is blankTHEN the Accept button will be grayed out GIVEN the user adds his comments in the 'Add Comment' sectionWHEN Accept button is active THEN the sandbox successfully approved to enable the second-level approval step GIVEN the sandbox has been successfully approved in step 1WHEN the """"Accept"""" button is clicked by the first userTHEN they should see the sandbox status as 'Pending Approval-2' to initiate deployment process GIVEN the second user adds his comments in the 'Add Comment' sectionWHEN """"Accept"""" button is active THEN the sandbox successfully implemented in production GIVEN the user clicks on the """"Reject"""" buttonWHEN the sandbox status is 'Pending Approval-2'THEN the sandbox is triggered to cancel the simulation with the message """"Are you sure you want to cancel the simulation?"""" GIVEN the user adds his comments in the 'Add Comment' sectionWHEN the response is clicked as """"YES""""THEN the sandbox will be cancelled and user will be sent to the landing page. GIVEN the user adds his comments in the 'Add Comment' sectionWHEN the response is clicked as """"No""""THEN the user should land on the 'Pending Approval-2' page ","Tahcin Ahmed","E_SLPM_ST15_CRR Rule Configuration","05/28/2025 05:06 AM MST","07/21/2025 09:40 PM MST","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","1","","","","False","","Accepted","False","","07/13/2025 09:36 PM MST","","","E2","08/03/2025 10:26 PM MST","10/16/2025 10:01 AM MST","","","","Feature F717289: CRR - Approval Process for CRR configuration Changes","False","AXP PI 25.3","","","","8.0","0 Defined, 0 In-Progress, 1 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 1 Pass","0.0","1",""
"US5958551","Analysis for Fundamental Assessment for Rule Configuration","","Feature F716868: CRR - User-friendly UI for CRR framework configuration","0","2.0","Accepted","AXP 25.3.15 IP","AS A user, I want to an analysis and POC for the Fundamental assessment with regards to Rule Execution","Analysis and POC for the Fundamental Assessment with regards to Rule Execution","Satvik Jain","E_SLPM_ST15_CRR Rule Configuration","07/23/2025 10:17 PM MST","08/18/2025 02:19 AM MST","","","False","","#21a2e0","","Satvik Jain","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Accepted","False","","08/06/2025 04:34 AM MST","","","","","10/16/2025 10:01 AM MST","","","","Feature F716868: CRR - User-friendly UI for CRR framework configuration","False","AXP PI 25.3","","","","20.0","0 Defined, 0 In-Progress, 1 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US5565365","Validation of DB Schema from DB Team","","","0","3.0","Being Groomed","","As a developer, I want to validate the designs of the Database schema with the Database team","Given that the Business wants to move to a Bottom-up approach for risk framework configuration       Tech team should get the DB schema validation by the DB Team","Satvik Jain","E_SLPM_ST15_CRR Rule Configuration","02/17/2025 04:03 AM MST","","","","False","","#21a2e0","","Satvik Jain","","","","","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Being Groomed","False","","","","","","","03/04/2025 04:23 AM MST","","","","","False","","","","","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US6276420","Enablement of authentication for reporting in E1 and E2","","Feature F717285: CRR - UI Improvements & Modification  PI 25.5","0","3.0","In-Progress","AXP 25.5.23","Enablement of authentication for reporting in E1 and E2","Enablement of authentication for reporting in E1 and E2","Satvik Jain","E_SLPM_ST15_CRR Rule Configuration","11/20/2025 01:22 AM MST","","","","False","","#df1a7b","","Satvik Jain","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","1","","","","False","","In-Progress","False","","11/26/2025 09:47 PM MST","","","E2","11/26/2025 09:55 PM MST","11/26/2025 09:56 PM MST","","","","Feature F717285: CRR - UI Improvements & Modification  PI 25.5","False","AXP PI 25.5","","","","48.0","0 Defined, 2 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 1 Pass","48.0","1",""
"US5819044","Screen for pending approval 2","","Feature F717289: CRR - Approval Process for CRR configuration Changes","0","1.0","Accepted","AXP 25.3.13","I WANT to validate the submission independently of the first approver SO THAT final production deployment is allowed only after dual review. https://www.figma.com/design/ej5fTjN0D2CQJFWaZtwj3H/CRR-Option2?node-id=3873-53562&t=GpcF2HZab3Iv9GsQ-0","GIVEN Approver 1 has completed their approvalWHEN I review and approve the same submissionTHEN the system should confirm dual-approval and enable deployment","Tahcin Ahmed","E_SLPM_ST15_CRR Rule Configuration","05/28/2025 05:01 AM MST","07/21/2025 09:41 PM MST","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","1","","","","False","","Accepted","False","","07/13/2025 09:36 PM MST","","","E2","08/03/2025 10:26 PM MST","10/16/2025 10:01 AM MST","","","","Feature F717289: CRR - Approval Process for CRR configuration Changes","False","AXP PI 25.3","","","","10.0","0 Defined, 0 In-Progress, 1 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 1 Pass","0.0","1",""
