"Formatted ID","Name","Notes","Feature","Discussion","Plan Estimate","Schedule State","Iteration","Description","Acceptance Criteria","Owner","Project","Creation Date","Accepted Date","Custom Field 3","Affected Customers","Blocked","Blocked Reason","Display Color","Components","Created By","Custom Development","Custom Field 1","Custom Field 2","Custom Field 4","Custom Field 5","Defect Status","Defects","Dependencies","Direct Children Count","DirectPassingTestCaseCount","Due Date","Enabler / Tech Debt","Estimated Value","Expedite","External ID","Flow State","HasParent","Impacted Systems","In Progress Date","ITSM ID","Kanban State","Last Build","Last Run","Last Update Date","Milestones","MOSCOW Priority","Parent","Portfolio Item","Ready","Release","Resolution","Salesforce Case","Tags","Task Estimate Total","Task Status","Test Case Status","Task Remaining Total","Total Direct Test Case Count","Virtual Release ID"
"US6180997","Integrate HRO-ARF Variables with Flat Table - Deployment and Test in E1","","Feature F794224: CRR - HRO/ARF/Party Add Char/Account Add Char ( Analysis , Build) in E1","0","2.0","Being Groomed","AXP 25.5.24","As a compliance analyst, I want to integrate HRO-ARF Variables with Flat Table in E1. This is a deployment and testing user story. ","Given that HRO-ARF are integrated with Flat Table so that it can be deployed and tested in E1","Tahcin Ahmed","E_SLPM_ST16_CRR Rule Execution","10/15/2025 03:58 PM MST","","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Being Groomed","False","","","","","","","11/07/2025 12:14 AM MST","","","","Feature F794224: CRR - HRO/ARF/Party Add Char/Account Add Char ( Analysis , Build) in E1","False","AXP PI 25.5","","","","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US5569602","Customer Income Spend Ratio Rule","","Feature F717254: CRR - Analysis of Rule computation for Individual Customers","0","5.0","Accepted","AXP 25.1.3","As a developer, I want to write the code for the Customer Income Spend Ratio Rule for Customer Level Risk Scoring","Given that we need risk scoring for Customer Income Spend Ratio Rule, when we move to development, we can code the logic for customer transaction amount ratio rule","Satvik Jain","E_SLPM_ST16_CRR Rule Execution","02/17/2025 10:57 PM MST","03/03/2025 01:09 AM MST","","","False","","#21a2e0","","Satvik Jain","","","","","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","1","","","","False","","Accepted","False","","02/17/2025 11:16 PM MST","","","1","03/02/2025 08:35 PM MST","03/03/2025 01:09 AM MST","","","","Feature F717254: CRR - Analysis of Rule computation for Individual Customers","False","AXP PI 25.1","","","","61.0","0 Defined, 0 In-Progress, 5 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 1 Pass","0.0","1",""
"US5819189","E2E testing for Customer Scoring module","","Feature F761431: CRR - Customer Scoring as per existing logic (Analysis & Build)","0","5.0","Accepted","AXP 25.3.15 IP"," As a user, I would want to test the Customer scoring module.","Given that e2e testing needs to be done for the build of the customer scoring module ","Tahcin Ahmed","E_SLPM_ST16_CRR Rule Execution","05/28/2025 05:47 AM MST","08/18/2025 08:02 AM MST","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","1","","","","False","","Accepted","False","","08/04/2025 10:34 PM MST","","","E2E Customer Scoring Testing and Validation","08/18/2025 07:22 AM MST","10/16/2025 10:01 AM MST","","","","Feature F761431: CRR - Customer Scoring as per existing logic (Analysis & Build)","False","AXP PI 25.3","","","","75.0","0 Defined, 0 In-Progress, 4 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 1 Pass","0.0","1",""
"US6160868","SIT for Aggregation rules","","Feature F775706: CRR - Calculate CRR in Sandbox & Simulation in E2","0","5.0","Defined","AXP 25.5.24","As a compliance analyst, I want testing for Aggregation rules to be performed.","Given that Aggregation rules testing to be performed.","Satvik Jain","E_SLPM_ST16_CRR Rule Execution","10/13/2025 04:01 AM MST","","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Defined","False","","","","","","","10/16/2025 10:01 AM MST","","","","Feature F775706: CRR - Calculate CRR in Sandbox & Simulation in E2","False","AXP PI 25.5","","","","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US6160871","SIT for Max Rules - Part 2","","Feature F775706: CRR - Calculate CRR in Sandbox & Simulation in E2","0","5.0","In-Progress","AXP 25.5.23","As a compliance analyst, I want testing for Max Rules to be performed.","Given that Max Rules testing to be performed.","Satvik Jain","E_SLPM_ST16_CRR Rule Execution","10/13/2025 04:02 AM MST","","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","In-Progress","False","","11/26/2025 09:38 PM MST","","","","","11/26/2025 09:38 PM MST","","","","Feature F775706: CRR - Calculate CRR in Sandbox & Simulation in E2","False","AXP PI 25.5","","","","44.0","1 Defined, 1 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","44.0","0",""
"US6160870","SIT for Max Rules - Part 1","@Satvik Jain I have setup test data and scripts required to test Max rules.Will continue testing of DP in next sprint under the story SIT for Max Rules-Part2cc- @Nishant Kashyap ","Feature F775706: CRR - Calculate CRR in Sandbox & Simulation in E2","0","5.0","Accepted","AXP 25.5.22","As a compliance analyst, I want testing for Max rules to be performed.","Given that Max Rules testing to be performed.","Satvik Jain","E_SLPM_ST16_CRR Rule Execution","10/13/2025 04:02 AM MST","11/24/2025 09:36 PM MST","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Accepted","False","","11/11/2025 09:27 PM MST","","","","","11/24/2025 09:36 PM MST","","","","Feature F775706: CRR - Calculate CRR in Sandbox & Simulation in E2","False","AXP PI 25.5","","","","48.0","0 Defined, 0 In-Progress, 2 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US6181106","SIT for Ratio rules","","Feature F775706: CRR - Calculate CRR in Sandbox & Simulation in E2","0","5.0","Defined","AXP 25.5.25","As a compliance analyst, I want testing for Ratio rules to be performed.","Given that Ratio rules testing to be performed.","Satvik Jain","E_SLPM_ST16_CRR Rule Execution","10/15/2025 04:52 PM MST","","","","False","","#21a2e0","","Tahcin Ahmed","","","","CRR","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Defined","False","","","","","","","10/16/2025 10:01 AM MST","","","","Feature F775706: CRR - Calculate CRR in Sandbox & Simulation in E2","False","AXP PI 25.5","","","","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US5483940","Discovery for assignment of the rule based on the scope of the Rule Set","","Feature F717254: CRR - Analysis of Rule computation for Individual Customers","0","5.0","Accepted","AXP 25.1.4","As a developer, I want to discover and analyze rule assignment based on the scope of the rule set so that rules are accurately assigned and applied in the system.","Given rule assignment needs to be scoped, when discovery is completed, then the findings should guide the rule assignment process.","Satvik Jain","E_SLPM_ST16_CRR Rule Execution","01/15/2025 01:37 AM MST","03/17/2025 03:38 AM MST","","","False","","#21a2e0","","Satvik Jain","","","","","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Accepted","False","","03/03/2025 11:32 PM MST","","","","","04/24/2025 11:37 PM MST","","","","Feature F717254: CRR - Analysis of Rule computation for Individual Customers","False","AXP PI 25.1","","","","66.0","0 Defined, 0 In-Progress, 7 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US5820387","Sample data for specific Merchant variables","","Feature F717257: CRR - Integration with DAM for Sandbox scoring (Build)","0","3.0","Accepted","AXP 25.2.10 IP","Upon checking the sample data shared by Nishant, we could not find matching values with the merchant data. E.g., for ‘Party's Structure/Party Type’, the expected values given to us were ‘Company structure. Limited liability, sole proprietor, corporation’, while the sample values contained data like ‘LLC-EX’ and ‘PTYLTD’. This creates a disconnect between our data and sample/expected data.Please provide the sample values for the highlighted Data Point Names in column ‘D’ (highlighted in Pink) in the attached sheet:  Merchant CRR Variables - Queries.xlsx.","Provide the sample values for the highlighted Data Point Names in column ‘D’ (highlighted in Pink) in the attached sheet:  Merchant CRR Variables - Queries.xlsx.","Tahcin Ahmed","E_SLPM_ST16_CRR Rule Execution","05/28/2025 09:25 AM MST","06/09/2025 08:42 AM MST","","","False","","#21a2e0","","Tahcin Ahmed","","","","","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Accepted","False","","06/01/2025 09:09 PM MST","","","","","06/09/2025 08:42 AM MST","","","","Feature F717257: CRR - Integration with DAM for Sandbox scoring (Build)","False","AXP PI 25.2","","","","30.0","0 Defined, 0 In-Progress, 2 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
"US6252609","Enhancements for DAM Data Extraction logic","","Feature F794224: CRR - HRO/ARF/Party Add Char/Account Add Char ( Analysis , Build) in E1","0","3.0","Accepted","AXP 25.5.22"," Improvements to the code related to config usage and SDE encryption","Improvements to the code related to config usage and SDE encryption","Satvik Jain","E_SLPM_ST16_CRR Rule Execution","11/09/2025 10:09 PM MST","11/24/2025 09:36 PM MST","","","False","","#21a2e0","","Satvik Jain","","","","","","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","0","0","0","","","","False","","Accepted","False","","11/11/2025 09:27 PM MST","","","","","11/24/2025 09:36 PM MST","","","","Feature F794224: CRR - HRO/ARF/Party Add Char/Account Add Char ( Analysis , Build) in E1","False","AXP PI 25.5","","","","60.0","0 Defined, 0 In-Progress, 5 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","0",""
