"Formatted ID","Name","Requirement","State","Priority","Owner","Schedule State","Iteration","Release","Tags","Accepted Date","Affected Customers","Affects Doc","Blocked","Blocked Reason","Closed Date","Display Color","Created By","Creation Date","Custom Date 1","Custom Date 2","Custom Field 1","Custom Field 2","Custom Field 3","Custom Field 4","Custom Field 5","Defect Category","Defect Test Phase","Description","Discussion","Environment","Expedite","Fault App Name","Fixed In Build","Flow State","Found In Build","Impacted Systems","In Progress Date","ITSM ID","Kanban State","Last Build","Last Run","Last Update Date","Milestones","MOSCOW Priority","Notes","Opened Date","Plan Estimate","Portfolio Item","Project","Ready","Release Note","Resolution","Resolution Summary","RFC NBR","Root Cause","Salesforce Case","Salesforce Case ID","Salesforce Case Number","Severity","Sub-Root Cause","Submitted By","Target Build","Target Date","Task Estimate Total","Task Status","Test Case","Test Case Status","Task Remaining Total","Verified In Build"
"DE651946","Cross button is not working on Add New Sandbox window","US5567661: Automation test flows for Sandbox RA Functionality","Closed","Normal","Jatin Kumar","Accepted","AXP 25.1.4","AXP PI 25.1","","03/31/2025 08:21 AM MST","","False","False","","03/05/2025 05:38 AM MST","#df1a7b","Jatin Kumar","02/18/2025 12:27 AM MST","","","","","","","","Code","SIT Test","STR:Go to Customer Risk Rating -> Sandbox page tabClick on Add New ButtonClick on Cross ButtonActual: By clicking on cross button, Add New Sandbox window not getting closed (PFA)Expected: Add New Sandbox window should be closed by clicking on cross button.","1","Test","False","Others","","Accepted","","","02/24/2025 09:52 PM MST","","","","","08/03/2025 10:35 PM MST","","","This is Fixed and ready for re-testing","","","","E_SLPM_ST15_CRR Rule Configuration","False","False","Code Change","","","Custom Code Issue","","","","Minor Problem","","Jatin Kumar","","03/17/2025 12:00 AM MST","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0",""
"DE652003","Default texts for Name, Description and Scope boxes are not populating as expected on Add New Sandbox window","US5567661: Automation test flows for Sandbox RA Functionality","Closed","Normal","Jatin Kumar","Accepted","AXP 25.1.5 IP","AXP PI 25.1","","03/31/2025 08:21 AM MST","","False","False","","03/18/2025 10:56 AM MST","#df1a7b","Jatin Kumar","02/18/2025 04:00 AM MST","","","","","","","","Code","SIT Test","STR:Go to Customer Risk Rating -> Sandbox page tabClick on Add New ButtonActual: On comparing with Figma screens, Default 'Select' text not populating in Scope dropdown box, along with Name and Description default texts are not matching (PFA)Expected: By default, 'Select' text should be there in Scope dropdown box (PFA) and Default texts for Name and Description boxes should be matched with Figma screens (PFA)","2","Test","False","Others","","Accepted","","","02/24/2025 09:52 PM MST","","","","","08/03/2025 10:35 PM MST","","","This is fixed and ready for re-testing","03/05/2025 05:27 AM MST","","","E_SLPM_ST15_CRR Rule Configuration","False","False","Code Change","","","Custom Code Issue","","","","Minor Problem","","Jatin Kumar","","03/31/2025 12:00 AM MST","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0",""
"DE652047","Risk 'Assesments' : Spelling error under Sandbox Tab","US5567661: Automation test flows for Sandbox RA Functionality","Closed","Low","Jatin Kumar","Accepted","AXP 25.1.4","AXP PI 25.1","","03/31/2025 08:21 AM MST","","False","False","","03/05/2025 05:47 AM MST","#df1a7b","Jatin Kumar","02/18/2025 08:13 AM MST","","","","","","","","Code","SIT Test","STR:Go to Customer Risk Rating -> Sandbox page tabValidate 'Risk Assessments' textActual: Risk Assesments (Spelling error of Assesments)Expected: Risk Assessments","1","Test","False","Others","","Accepted","","","03/05/2025 05:47 AM MST","","","","","08/03/2025 10:35 PM MST","","","","","","","E_SLPM_ST15_CRR Rule Configuration","False","False","User Interface","","","Custom Code Issue","","","","Cosmetic","","Jatin Kumar","","03/17/2025 12:00 AM MST","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0",""
"DE652201","Caution symbol is not getting displayed with error messages on Add New Sandbox window","US5567661: Automation test flows for Sandbox RA Functionality","Closed","Low","Jatin Kumar","Accepted","AXP 25.1.4","AXP PI 25.1","","03/31/2025 08:21 AM MST","","False","False","","03/17/2025 04:34 AM MST","#df1a7b","Jatin Kumar","02/19/2025 12:11 AM MST","","","","","","","","Code","SIT Test","STR:Go to Customer Risk Rating -> Sandbox page tabClick on Add New ButtonGive input in Name Text box : % & (space is there in between % and &)Actual: Caution symbol is missing in error messages for incorrect inputs (PFA)Expected: Caution symbol should be highlighted with the error messages on giving incorrect inputs (PFA)","2","Test","False","Others","","Accepted","","","03/11/2025 05:21 AM MST","","","","","11/09/2025 10:02 PM MST","","","","","","","E_SLPM_ST15_CRR Rule Configuration","False","False","User Interface","","","Custom Code Issue","","","","Cosmetic","","Jatin Kumar","","03/17/2025 12:00 AM MST","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0",""
"DE652333","Dotted lines getting displayed on web elements Under CRR and Sandbox tab","US5567661: Automation test flows for Sandbox RA Functionality","Closed","Normal","Satvik Jain","Accepted","AXP 25.1.5 IP","AXP PI 25.1","","03/26/2025 11:25 PM MST","","False","False","","03/26/2025 10:43 PM MST","#df1a7b","Jatin Kumar","02/19/2025 09:41 AM MST","","","","","","","","Requirement","SIT Test","STR:Go to Customer Risk Rating -> CRR and Sandbox page tabPFB current observations for dotted lines boundary:Under CRR Tab, Risk Threshold button, Risk Threshold window cross button etc.Under Sandbox Tab, Add New Button, Scope Text box etc ","4","Test","False","Others","","Accepted","","","03/26/2025 11:25 PM MST","","","","","11/09/2025 10:02 PM MST","","","Closing this Defect as this is part of Amex DLS Standard and other teams have the same like CM/IM ","03/12/2025 05:58 AM MST","","","E_SLPM_ST15_CRR Rule Configuration","False","False","Not a Defect","","","Requirements","","","","Minor Problem","","Jatin Kumar","","03/31/2025 12:00 AM MST","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0",""
"DE652455","Incorrect Add button on Add New Sandbox window","US5567661: Automation test flows for Sandbox RA Functionality","Closed","Normal","Jatin Kumar","Accepted","AXP 25.1.5 IP","AXP PI 25.1","","03/31/2025 08:21 AM MST","","False","False","","03/19/2025 07:34 AM MST","#df1a7b","Jatin Kumar","02/19/2025 11:14 PM MST","","","","","","","","Code","SIT Test","STR:Go to Customer Risk Rating -> Sandbox page tabClick on Add New ButtonActual: Apply Button is populating instead of Add Button on Add New Sandbox window (PFA)Expected: Add button should reflect on Add New Sandbox window (PFA) Note: By default, if we are not giving any input, Add Button should be in disabled state.","1","Test","False","Others","","Accepted","","","03/17/2025 07:49 AM MST","","","","","11/09/2025 10:02 PM MST","","","","03/04/2025 09:36 PM MST","","","E_SLPM_ST15_CRR Rule Configuration","False","False","User Interface","","","Custom Code Issue","","","","Minor Problem","","Jatin Kumar","","03/31/2025 12:00 AM MST","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0",""
"DE652786","Incorrect confirmation message on creating New Sandbox","US5567661: Automation test flows for Sandbox RA Functionality","Closed","Normal","Jatin Kumar","Accepted","AXP 25.1.4","AXP PI 25.1","","03/31/2025 08:22 AM MST","","False","False","","03/05/2025 05:02 AM MST","#df1a7b","Jatin Kumar","02/21/2025 06:44 AM MST","","","","","","","","Other","SIT Test","STR:Go to Customer Risk Rating -> Sandbox page tabClick on Add New ButtonGive inputs - Name, Description, ScopeClick on Add/ApplyActual: Incorrect confirmation message on creating New Sandbox (PFA)Expected: Confirmation message should be matched with the Figma output (PFA)","1","Test","False","Others","","Accepted","","","02/24/2025 09:53 PM MST","","","","","11/09/2025 10:03 PM MST","","","This is fixed and ready to re-test","","","","E_SLPM_ST15_CRR Rule Configuration","False","False","Code Change","","","Configuration Issue","","","","Minor Problem","","Jatin Kumar","","03/17/2025 12:00 AM MST","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0",""
"DE653013","Incorrect Risk Threshold window format/layout","US5648401: View Risk Thresholds from CRR Landing Page","Closed","Normal","Jatin Kumar","Accepted","AXP 25.2.9","AXP PI 25.2","","05/26/2025 09:27 PM MST","","False","False","","05/23/2025 05:12 AM MST","#df1a7b","Jatin Kumar","02/24/2025 03:01 AM MST","","","","","","","","Requirement","SIT Test","STR:Go to Customer Risk Rating -> CRR page tabClick on 'Risk Threshold' buttonActual: Risk Threshold window format/layout is not populating as expected.Expected: Risk Threshold window layout of data values should be populated as Figma screens.","7","Test","False","Others","","Accepted","","","05/15/2025 08:08 AM MST","","","","","11/09/2025 10:03 PM MST","","","Ranjana : Hi @Jatin Kumar We will take this defect in next PI, The Risk Threshold Modal is for demo purpose only at the moment.CC: @Satvik Jain Satvik : Hi @Ranjana Panwar will add this defect number to notes on that user story in 25.2 ","03/12/2025 05:55 AM MST","","","E_SLPM_ST15_CRR Rule Configuration","False","False","Documentation","","","Requirements","","","","Minor Problem","","Jatin Kumar","","05/26/2025 12:00 AM MST","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0",""
"DE655550","Missing data in Scope country list (Add New Sandbox Window)","US5594466: New RA Sandbox creation retesting","Closed","Normal","Shweta Jha","Accepted","AXP 25.1.4","AXP PI 25.1","","03/31/2025 08:20 AM MST","","False","False","","03/19/2025 10:33 PM MST","#df1a7b","Jatin Kumar","03/06/2025 10:37 PM MST","","","","","","","","Data","SIT Test","STR: Go to Sandbox tabClick on Add New buttonActual: Missing IN-India country missing in Scope list on add new sandbox windowExpected: IN-India should be populated in Scope list","1","Test","False","Others","","Accepted","","","03/19/2025 11:15 PM MST","","","","","11/09/2025 10:03 PM MST","","","","","","","E_SLPM_ST15_CRR Rule Configuration","False","False","Data Fix","","","Data Issue","","","","Crash/Data Loss","","Jatin Kumar","","03/17/2025 12:00 AM MST","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0",""
"DE655814","Incorrect error message for name field on New Sandbox window","US5594466: New RA Sandbox creation retesting","Closed","Low","Jatin Kumar","Accepted","AXP 25.1.5 IP","AXP PI 25.1","","03/25/2025 05:23 AM MST","","False","False","","03/18/2025 11:06 AM MST","#df1a7b","Jatin Kumar","03/09/2025 11:54 PM MST","","","@Jatin Kumar its fixed . u can pick this ","","","","","Requirement","SIT Test","STR: Go to Sandbox tabClick on Add New buttonActual: Spaces are not allowed in the name, use _ or -.Expected: Space is not allowed in name, please use _ or -(PFA)NOTE: Same Issue exists for Edit Sandbox window","1","Test","False","Others","","Accepted","","","03/17/2025 10:44 PM MST","","","","","11/09/2025 10:04 PM MST","","","@Jatin Kumar   i will take this in upcoming sprint  ","","","","E_SLPM_ST15_CRR Rule Configuration","False","False","Requirements","","","Requirements","","","","Cosmetic","","Jatin Kumar","","03/31/2025 12:00 AM MST","0.0","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0",""
